"","trial_type","do_switch","resp_type","keyTrial.rt","trial_num","block_num","correct","ExactAge","FlooredAge","AgeGroup","participant"
"66","low_switch",0,"correct",0.568,66,3,1,20.3780821917808,20,"Adults",1
"67","low_switch",0,"correct",0.4494,67,3,1,20.3780821917808,20,"Adults",1
"68","low_switch",0,"correct",0.4678,68,3,1,20.3780821917808,20,"Adults",1
"69","low_switch",0,"correct",0.4502,69,3,1,20.3780821917808,20,"Adults",1
"70","low_switch",0,"correct",0.4007,70,3,1,20.3780821917808,20,"Adults",1
"71","low_switch",0,"correct",0.4349,71,3,1,20.3780821917808,20,"Adults",1
"72","low_switch",0,"correct",0.5344,72,3,1,20.3780821917808,20,"Adults",1
"73","low_switch",0,"correct",0.4675,73,3,1,20.3780821917808,20,"Adults",1
"74","low_switch",0,"correct",0.4008,74,3,1,20.3780821917808,20,"Adults",1
"75","low_switch",0,"correct",0.4003,75,3,1,20.3780821917808,20,"Adults",1
"76","low_switch",0,"correct",0.4008,76,3,1,20.3780821917808,20,"Adults",1
"77","low_switch",0,"correct",0.4179,77,3,1,20.3780821917808,20,"Adults",1
"78","low_switch",0,"correct",0.4667,78,3,1,20.3780821917808,20,"Adults",1
"79","low_switch",0,"correct",0.6172,79,3,1,20.3780821917808,20,"Adults",1
"80","low_switch",0,"correct",0.4007,80,3,1,20.3780821917808,20,"Adults",1
"81","low_switch",0,"correct",0.368,81,3,1,20.3780821917808,20,"Adults",1
"82","low_switch",0,"correct",0.6513,82,3,1,20.3780821917808,20,"Adults",1
"83","low_switch",1,"correct",0.8501,83,3,1,20.3780821917808,20,"Adults",1
"84","low_switch",1,"correct",0.634,84,3,1,20.3780821917808,20,"Adults",1
"85","low_switch",0,"correct",0.5347,85,3,1,20.3780821917808,20,"Adults",1
"86","low_switch",0,"correct",0.5007,86,3,1,20.3780821917808,20,"Adults",1
"87","low_switch",1,"correct",0.801,87,3,1,20.3780821917808,20,"Adults",1
"88","low_switch",1,"correct",0.6001,88,3,1,20.3780821917808,20,"Adults",1
"89","low_switch",0,"correct",0.5515,89,3,1,20.3780821917808,20,"Adults",1
"90","low_switch",0,"correct",0.5015,90,3,1,20.3780821917808,20,"Adults",1
"91","high_switch",0,"correct",0.5007,91,4,1,20.3780821917808,20,"Adults",1
"92","high_switch",1,"correct",0.5173,92,4,1,20.3780821917808,20,"Adults",1
"93","high_switch",0,"correct",0.4172,93,4,1,20.3780821917808,20,"Adults",1
"94","high_switch",0,"correct",0.8508,94,4,1,20.3780821917808,20,"Adults",1
"95","high_switch",0,"correct",0.5845,95,4,1,20.3780821917808,20,"Adults",1
"96","high_switch",1,"correct",0.6351,96,4,1,20.3780821917808,20,"Adults",1
"97","high_switch",0,"correct",0.6507,97,4,1,20.3780821917808,20,"Adults",1
"98","high_switch",1,"correct",0.4678,98,4,1,20.3780821917808,20,"Adults",1
"99","high_switch",0,"correct",0.4336,99,4,1,20.3780821917808,20,"Adults",1
"100","high_switch",1,"correct",0.5498,100,4,1,20.3780821917808,20,"Adults",1
"101","high_switch",1,"correct",0.5673,101,4,1,20.3780821917808,20,"Adults",1
"102","high_switch",1,"correct",0.5339,102,4,1,20.3780821917808,20,"Adults",1
"103","high_switch",1,"correct",0.5178,103,4,1,20.3780821917808,20,"Adults",1
"104","high_switch",1,"correct",0.9176,104,4,1,20.3780821917808,20,"Adults",1
"105","high_switch",0,"correct",0.6329,105,4,1,20.3780821917808,20,"Adults",1
"106","high_switch",1,"correct",0.5514,106,4,1,20.3780821917808,20,"Adults",1
"107","high_switch",0,"correct",0.5676,107,4,1,20.3780821917808,20,"Adults",1
"108","high_switch",1,"correct",0.5846,108,4,1,20.3780821917808,20,"Adults",1
"109","high_switch",1,"correct",0.467,109,4,1,20.3780821917808,20,"Adults",1
"110","high_switch",0,"correct",0.4,110,4,1,20.3780821917808,20,"Adults",1
"111","high_switch",0,"correct",0.4675,111,4,1,20.3780821917808,20,"Adults",1
"112","high_switch",1,"correct",0.6505,112,4,1,20.3780821917808,20,"Adults",1
"113","high_switch",1,"correct",0.4833,113,4,1,20.3780821917808,20,"Adults",1
"114","high_switch",0,"correct",0.6667,114,4,1,20.3780821917808,20,"Adults",1
"115","high_switch",0,"correct",0.4836,115,4,1,20.3780821917808,20,"Adults",1
"116","high_switch",0,"correct",0.4006,116,4,1,20.3780821917808,20,"Adults",1
"117","high_switch",1,"correct",0.4677,117,4,1,20.3780821917808,20,"Adults",1
"118","high_switch",0,"correct",0.4848,118,4,1,20.3780821917808,20,"Adults",1
"119","high_switch",0,"correct",0.617,119,4,1,20.3780821917808,20,"Adults",1
"120","high_switch",1,"correct",0.401,120,4,1,20.3780821917808,20,"Adults",1
"121","low_switch",0,"too_slow",NA,1,1,NA,19.9780821917808,19,"Adults",2
"122","low_switch",0,"correct",0.864,2,1,1,19.9780821917808,19,"Adults",2
"123","low_switch",0,"correct",0.897,3,1,1,19.9780821917808,19,"Adults",2
"124","low_switch",0,"correct",0.7682,4,1,1,19.9780821917808,19,"Adults",2
"125","low_switch",0,"correct",0.7235,5,1,1,19.9780821917808,19,"Adults",2
"126","low_switch",0,"correct",0.5191,6,1,1,19.9780821917808,19,"Adults",2
"127","low_switch",1,"correct",1.0483,7,1,1,19.9780821917808,19,"Adults",2
"128","low_switch",0,"correct",0.5832,8,1,1,19.9780821917808,19,"Adults",2
"129","low_switch",1,"correct",0.9488,9,1,1,19.9780821917808,19,"Adults",2
"130","low_switch",0,"correct",0.6049,10,1,1,19.9780821917808,19,"Adults",2
"131","low_switch",1,"correct",0.5794,11,1,1,19.9780821917808,19,"Adults",2
"132","low_switch",0,"correct",0.5782,12,1,1,19.9780821917808,19,"Adults",2
"133","low_switch",0,"correct",0.6525,13,1,1,19.9780821917808,19,"Adults",2
"134","low_switch",1,"correct",0.9035,14,1,1,19.9780821917808,19,"Adults",2
"135","low_switch",0,"correct",0.5066,15,1,1,19.9780821917808,19,"Adults",2
"136","low_switch",0,"correct",0.5735,16,1,1,19.9780821917808,19,"Adults",2
"137","low_switch",0,"correct",0.6261,17,1,1,19.9780821917808,19,"Adults",2
"138","low_switch",0,"correct",0.5334,18,1,1,19.9780821917808,19,"Adults",2
"139","low_switch",1,"correct",0.7831,19,1,1,19.9780821917808,19,"Adults",2
"140","low_switch",0,"correct",0.4864,20,1,1,19.9780821917808,19,"Adults",2
"141","low_switch",0,"correct",0.6544,21,1,1,19.9780821917808,19,"Adults",2
"142","low_switch",0,"correct",0.5357,22,1,1,19.9780821917808,19,"Adults",2
"143","low_switch",1,"correct",0.7217,23,1,1,19.9780821917808,19,"Adults",2
"144","low_switch",0,"too_slow",NA,24,1,NA,19.9780821917808,19,"Adults",2
"145","low_switch",0,"correct",0.5733,25,1,1,19.9780821917808,19,"Adults",2
"146","low_switch",0,"correct",0.7793,26,1,1,19.9780821917808,19,"Adults",2
"147","low_switch",0,"correct",0.7429,27,1,1,19.9780821917808,19,"Adults",2
"148","low_switch",0,"correct",0.6637,28,1,1,19.9780821917808,19,"Adults",2
"149","low_switch",0,"correct",0.6325,29,1,1,19.9780821917808,19,"Adults",2
"150","low_switch",0,"correct",0.6418,30,1,1,19.9780821917808,19,"Adults",2
"151","high_switch",0,"correct",0.4905,31,2,1,19.9780821917808,19,"Adults",2
"152","high_switch",1,"correct",1.0023,32,2,1,19.9780821917808,19,"Adults",2
"153","high_switch",0,"correct",0.4556,33,2,1,19.9780821917808,19,"Adults",2
"154","high_switch",0,"correct",0.5186,34,2,1,19.9780821917808,19,"Adults",2
"155","high_switch",0,"correct",0.5323,35,2,1,19.9780821917808,19,"Adults",2
"156","high_switch",0,"correct",0.4823,36,2,1,19.9780821917808,19,"Adults",2
"157","high_switch",1,"correct",0.7895,37,2,1,19.9780821917808,19,"Adults",2
"158","high_switch",0,"correct",0.732,38,2,1,19.9780821917808,19,"Adults",2
"159","high_switch",1,"correct",0.7027,39,2,1,19.9780821917808,19,"Adults",2
"160","high_switch",0,"correct",0.4915,40,2,1,19.9780821917808,19,"Adults",2
"161","high_switch",1,"correct",0.6867,41,2,1,19.9780821917808,19,"Adults",2
"162","high_switch",1,"correct",0.605,42,2,1,19.9780821917808,19,"Adults",2
"163","high_switch",1,"too_slow",NA,43,2,NA,19.9780821917808,19,"Adults",2
"164","high_switch",1,"correct",0.6185,44,2,1,19.9780821917808,19,"Adults",2
"165","high_switch",1,"correct",0.7368,45,2,1,19.9780821917808,19,"Adults",2
"166","high_switch",0,"correct",0.7541,46,2,1,19.9780821917808,19,"Adults",2
"167","high_switch",0,"correct",0.9297,47,2,1,19.9780821917808,19,"Adults",2
"168","high_switch",1,"correct",0.5298,48,2,1,19.9780821917808,19,"Adults",2
"169","high_switch",1,"correct",0.6606,49,2,1,19.9780821917808,19,"Adults",2
"170","high_switch",1,"correct",0.5028,50,2,1,19.9780821917808,19,"Adults",2
"171","high_switch",0,"correct",0.5115,51,2,1,19.9780821917808,19,"Adults",2
"172","high_switch",0,"correct",0.4917,52,2,1,19.9780821917808,19,"Adults",2
"173","high_switch",1,"correct",0.5526,53,2,1,19.9780821917808,19,"Adults",2
"174","high_switch",0,"correct",0.8593,54,2,1,19.9780821917808,19,"Adults",2
"175","high_switch",1,"correct",0.5897,55,2,1,19.9780821917808,19,"Adults",2
"176","high_switch",1,"correct",0.936,56,2,1,19.9780821917808,19,"Adults",2
"177","high_switch",0,"correct",0.5554,57,2,1,19.9780821917808,19,"Adults",2
"178","high_switch",0,"correct",0.5931,58,2,1,19.9780821917808,19,"Adults",2
"179","high_switch",1,"correct",0.6906,59,2,1,19.9780821917808,19,"Adults",2
"180","high_switch",0,"correct",0.5578,60,2,1,19.9780821917808,19,"Adults",2
"181","low_switch",0,"correct",0.7753,61,3,1,19.9780821917808,19,"Adults",2
"182","low_switch",0,"correct",0.7888,62,3,1,19.9780821917808,19,"Adults",2
"183","low_switch",0,"correct",0.5743,63,3,1,19.9780821917808,19,"Adults",2
"184","low_switch",0,"correct",0.9394,64,3,1,19.9780821917808,19,"Adults",2
"185","low_switch",0,"correct",0.5903,65,3,1,19.9780821917808,19,"Adults",2
"186","low_switch",0,"correct",0.5981,66,3,1,19.9780821917808,19,"Adults",2
"187","low_switch",1,"correct",1.0756,67,3,1,19.9780821917808,19,"Adults",2
"188","low_switch",0,"correct",0.549,68,3,1,19.9780821917808,19,"Adults",2
"189","low_switch",0,"correct",0.5553,69,3,1,19.9780821917808,19,"Adults",2
"190","low_switch",1,"correct",0.7091,70,3,1,19.9780821917808,19,"Adults",2
"191","low_switch",0,"correct",0.7226,71,3,1,19.9780821917808,19,"Adults",2
"192","low_switch",0,"correct",0.5727,72,3,1,19.9780821917808,19,"Adults",2
"193","low_switch",0,"correct",0.6154,73,3,1,19.9780821917808,19,"Adults",2
"194","low_switch",0,"correct",0.6046,74,3,1,19.9780821917808,19,"Adults",2
"195","low_switch",0,"correct",0.6355,75,3,1,19.9780821917808,19,"Adults",2
"196","low_switch",1,"correct",0.5418,76,3,1,19.9780821917808,19,"Adults",2
"197","low_switch",0,"correct",0.4537,77,3,1,19.9780821917808,19,"Adults",2
"198","low_switch",0,"correct",0.5188,78,3,1,19.9780821917808,19,"Adults",2
"199","low_switch",0,"correct",0.4902,79,3,1,19.9780821917808,19,"Adults",2
"200","low_switch",1,"correct",0.6671,80,3,1,19.9780821917808,19,"Adults",2
"201","low_switch",0,"correct",0.5922,81,3,1,19.9780821917808,19,"Adults",2
"202","low_switch",0,"correct",0.5524,82,3,1,19.9780821917808,19,"Adults",2
"203","low_switch",0,"correct",0.8254,83,3,1,19.9780821917808,19,"Adults",2
"204","low_switch",0,"correct",0.6756,84,3,1,19.9780821917808,19,"Adults",2
"205","low_switch",1,"correct",0.5562,85,3,1,19.9780821917808,19,"Adults",2
"206","low_switch",0,"correct",0.6587,86,3,1,19.9780821917808,19,"Adults",2
"207","low_switch",0,"correct",0.6375,87,3,1,19.9780821917808,19,"Adults",2
"208","low_switch",0,"correct",0.5867,88,3,1,19.9780821917808,19,"Adults",2
"209","low_switch",1,"correct",0.5838,89,3,1,19.9780821917808,19,"Adults",2
"210","low_switch",0,"correct",0.5726,90,3,1,19.9780821917808,19,"Adults",2
"211","high_switch",0,"correct",0.5541,91,4,1,19.9780821917808,19,"Adults",2
"212","high_switch",0,"correct",0.4657,92,4,1,19.9780821917808,19,"Adults",2
"213","high_switch",0,"correct",0.5677,93,4,1,19.9780821917808,19,"Adults",2
"214","high_switch",0,"correct",0.5474,94,4,1,19.9780821917808,19,"Adults",2
"215","high_switch",1,"correct",0.5684,95,4,1,19.9780821917808,19,"Adults",2
"216","high_switch",0,"correct",0.6189,96,4,1,19.9780821917808,19,"Adults",2
"217","high_switch",1,"correct",0.6377,97,4,1,19.9780821917808,19,"Adults",2
"218","high_switch",0,"correct",0.6344,98,4,1,19.9780821917808,19,"Adults",2
"219","high_switch",0,"correct",0.8239,99,4,1,19.9780821917808,19,"Adults",2
"220","high_switch",1,"correct",0.5337,100,4,1,19.9780821917808,19,"Adults",2
"221","high_switch",1,"correct",0.5388,101,4,1,19.9780821917808,19,"Adults",2
"222","high_switch",1,"correct",0.4678,102,4,1,19.9780821917808,19,"Adults",2
"223","high_switch",1,"correct",0.6561,103,4,1,19.9780821917808,19,"Adults",2
"224","high_switch",0,"correct",0.5101,104,4,1,19.9780821917808,19,"Adults",2
"225","high_switch",0,"correct",0.539,105,4,1,19.9780821917808,19,"Adults",2
"226","high_switch",1,"correct",0.5548,106,4,1,19.9780821917808,19,"Adults",2
"227","high_switch",0,"correct",0.4731,107,4,1,19.9780821917808,19,"Adults",2
"228","high_switch",0,"correct",0.4842,108,4,1,19.9780821917808,19,"Adults",2
"229","high_switch",1,"correct",0.6674,109,4,1,19.9780821917808,19,"Adults",2
"230","high_switch",0,"correct",0.6307,110,4,1,19.9780821917808,19,"Adults",2
"231","high_switch",0,"correct",0.5321,111,4,1,19.9780821917808,19,"Adults",2
"232","high_switch",0,"correct",0.5035,112,4,1,19.9780821917808,19,"Adults",2
"233","high_switch",1,"correct",0.5692,113,4,1,19.9780821917808,19,"Adults",2
"234","high_switch",0,"correct",0.487,114,4,1,19.9780821917808,19,"Adults",2
"235","high_switch",1,"correct",0.5557,115,4,1,19.9780821917808,19,"Adults",2
"236","high_switch",1,"correct",0.4556,116,4,1,19.9780821917808,19,"Adults",2
"237","high_switch",1,"correct",0.6766,117,4,1,19.9780821917808,19,"Adults",2
"238","high_switch",1,"correct",0.4494,118,4,1,19.9780821917808,19,"Adults",2
"239","high_switch",1,"correct",0.6738,119,4,1,19.9780821917808,19,"Adults",2
"240","high_switch",1,"correct",0.468,120,4,1,19.9780821917808,19,"Adults",2
"241","low_switch",0,"correct",1.2491,1,1,1,14.7506849315069,14,"Adolescents",3
"242","low_switch",0,"correct",0.9212,2,1,1,14.7506849315069,14,"Adolescents",3
"243","low_switch",0,"too_slow",NA,3,1,NA,14.7506849315069,14,"Adolescents",3
