num_tries,num_misses,num_speed_outliers,Gender,ExactAge,Race,Ethnicity,FlooredAge,AgeGroup,participant
3,0,4,Feminine,17.07123287671233,Asian,Not Hispanic or Latino,17,Adolescents,223
3,0,2,Masculine,19.715068493150685,White,Hispanic or Latino,19,Adults,224
3,0,3,Feminine,20.16438356164383,Asian,Not Hispanic or Latino,20,Adults,225
3,0,2,Feminine,19.747945205479457,Asian,Not Hispanic or Latino,19,Adults,226
3,0,2,Masculine,15.06027397260274,Asian,Not Hispanic or Latino,15,Adolescents,227
3,0,4,Feminine,18.972602739726028,White,Hispanic or Latino,18,Adults,228
3,0,2,Masculine,12.284931506849317,White,Not Hispanic or Latino,12,Children,229
3,0,2,Masculine,14.591780821917808,White,Not Hispanic or Latino,14,Adolescents,230
3,2,7,Masculine,15.443835616438356,Not Captured by Options,Hispanic or Latino,15,Adolescents,231
4,0,6,Feminine,16.676712328767124,Not Captured by Options,Not Hispanic or Latino,16,Adolescents,232
3,0,4,Feminine,13.446575342465753,White,Not Hispanic or Latino,13,Adolescents,233
3,0,6,Masculine,13.06027397260274,White,Not Hispanic or Latino,13,Adolescents,234
3,1,5,Feminine,16.19178082191781,Not Captured by Options,Not Hispanic or Latino,16,Adolescents,235
3,0,1,Feminine,11.747945205479452,White,Not Hispanic or Latino,11,Children,236
3,0,2,Masculine,16.041095890410958,White,Not Hispanic or Latino,16,Adolescents,237
4,0,3,Feminine,10.789041095890411,White,Hispanic or Latino,10,Children,238
3,0,3,Feminine,10.41917808219178,White,Hispanic or Latino,10,Children,239
3,0,0,Masculine,11.967123287671232,Not Captured by Options,Not Hispanic or Latino,11,Children,240
3,0,4,Masculine,10.205479452054794,Not Captured by Options,Not Hispanic or Latino,10,Children,241
3,0,4,Feminine,14.526027397260274,White,Not Hispanic or Latino,14,Adolescents,242
3,0,4,Masculine,17.506849315068493,White,Hispanic or Latino,17,Adolescents,243
3,0,4,Feminine,20.378082191780823,White,Not Hispanic or Latino,20,Adults,244
3,0,5,Feminine,19.95342465753425,White,Hispanic or Latino,19,Adults,245
3,0,2,Feminine,15.468493150684932,White,Not Hispanic or Latino,15,Adolescents,246
3,0,2,Masculine,12.35890410958904,White,Not Hispanic or Latino,12,Children,247
3,0,3,Feminine,14.29041095890411,Asian,Not Hispanic or Latino,14,Adolescents,248
3,0,2,Masculine,15.780821917808218,Black or African American,Not Hispanic or Latino,15,Adolescents,249
3,0,3,Feminine,13.465753424657532,White,Not Hispanic or Latino,13,Adolescents,250
3,0,5,Feminine,16.04931506849315,White,Not Hispanic or Latino,16,Adolescents,251
3,0,3,Feminine,11.057534246575342,White,Not Hispanic or Latino,11,Children,252
3,0,0,Feminine,18.912328767123288,Asian,Not Hispanic or Latino,18,Adults,253
3,0,1,Masculine,10.178082191780822,White,Not Hispanic or Latino,10,Children,254
3,0,3,Feminine,10.627397260273971,Not Captured by Options,Not Hispanic or Latino,10,Children,255
3,0,6,Masculine,20.671232876712327,White,Not Hispanic or Latino,20,Adults,256
4,0,3,Masculine,19.008219178082193,Not Captured by Options,Hispanic or Latino,19,Adults,257
3,3,7,Masculine,19.465753424657535,Black or African American,Not Hispanic or Latino,19,Adults,258
3,0,4,Masculine,18.4,Not Captured by Options,Hispanic or Latino,18,Adults,259
3,0,4,Masculine,16.04931506849315,White,Not Hispanic or Latino,16,Adolescents,260
3,0,3,Masculine,18.008219178082193,Not Captured by Options,Not Hispanic or Latino,18,Adults,261
3,0,2,Feminine,20.693150684931503,White,Not Hispanic or Latino,20,Adults,262
3,0,2,Feminine,15.04931506849315,White,Not Hispanic or Latino,15,Adolescents,263
3,0,3,Masculine,12.904109589041097,White,Not Hispanic or Latino,12,Children,264
3,0,2,Masculine,14.126027397260271,White,Not Hispanic or Latino,14,Adolescents,265
3,0,3,Feminine,15.841095890410958,Not Captured by Options,Not Hispanic or Latino,15,Adolescents,266
3,0,6,Masculine,15.76986301369863,White,Not Hispanic or Latino,15,Adolescents,267
3,0,1,Masculine,13.12054794520548,White,Not Hispanic or Latino,13,Adolescents,268
3,0,2,Feminine,11.252054794520548,White,Not Hispanic or Latino,11,Children,269
3,0,3,Feminine,13.501369863013698,White,Not Hispanic or Latino,13,Adolescents,270
3,0,2,Masculine,20.493150684931507,White,Not Hispanic or Latino,20,Adults,271
3,0,2,Feminine,18.34246575342466,White,Not Hispanic or Latino,18,Adults,272
4,4,6,Feminine,10.627397260273971,Not Captured by Options,Not Hispanic or Latino,10,Children,273
4,0,3,Feminine,12.13972602739726,White,Hispanic or Latino,12,Children,274
3,0,3,Masculine,10.287671232876711,White,Not Hispanic or Latino,10,Children,275
3,0,2,Masculine,11.104109589041096,White,Hispanic or Latino,11,Children,276
3,0,3,Feminine,16.986301369863014,Not Captured by Options,Hispanic or Latino,16,Adolescents,277
4,0,4,Masculine,20.78082191780822,White,Not Hispanic or Latino,20,Adults,278
4,0,4,Masculine,19.534246575342465,Asian,Not Hispanic or Latino,19,Adults,279
3,0,1,Feminine,20.96986301369863,Asian,Not Hispanic or Latino,20,Adults,280
3,0,3,Feminine,19.797260273972604,White,Not Hispanic or Latino,19,Adults,281
3,0,5,Feminine,15.767123287671232,White,Not Hispanic or Latino,15,Adolescents,282
3,0,5,Feminine,14.646575342465754,Not Captured by Options,Hispanic or Latino,14,Adolescents,283
3,0,2,Feminine,13.73972602739726,White,Not Hispanic or Latino,13,Adolescents,284
3,1,5,Masculine,12.53972602739726,White,Not Hispanic or Latino,12,Children,285
3,0,4,Masculine,13.389041095890413,White,Not Hispanic or Latino,13,Adolescents,286
3,0,3,Feminine,18.04109589041096,Asian,Not Hispanic or Latino,18,Adults,287
3,0,1,Feminine,13.86027397260274,White,Not Hispanic or Latino,13,Adolescents,288
3,0,4,Feminine,11.89041095890411,White,Not Hispanic or Latino,11,Children,289
3,0,1,Masculine,10.186301369863012,White,Not Hispanic or Latino,10,Children,290
3,0,5,Masculine,12.01917808219178,White,Not Hispanic or Latino,12,Children,291
4,1,4,Masculine,11.213698630136989,White,Not Hispanic or Latino,11,Children,292
3,0,5,Masculine,11.104109589041096,White,Not Hispanic or Latino,11,Children,293
3,0,5,Feminine,16.893150684931506,White,Not Hispanic or Latino,16,Adolescents,294
3,0,3,Masculine,20.564383561643837,White,Not Hispanic or Latino,20,Adults,295
3,0,5,Masculine,19.71232876712329,Asian,Hispanic or Latino,19,Adults,296
4,0,4,Feminine,15.515068493150684,White,Not Hispanic or Latino,15,Adolescents,297
3,0,3,Masculine,15.586301369863014,Not Captured by Options,Not Hispanic or Latino,15,Adolescents,298
3,0,3,Feminine,16.073972602739726,White,Not Hispanic or Latino,16,Adolescents,299
3,0,2,Feminine,16.65205479452055,White,Not Hispanic or Latino,16,Adolescents,300
