"","Gender","ExactAge","Race","Ethnicity","FlooredAge","AgeGroup","participant"
"17521","Masculine",19.7150684931507,"White","Hispanic or Latino",19,"Adults",224
"17761","Feminine",20.1643835616438,"Asian","Not Hispanic or Latino",20,"Adults",225
"18001","Feminine",19.7479452054795,"Asian","Not Hispanic or Latino",19,"Adults",226
"18241","Masculine",15.0602739726027,"Asian","Not Hispanic or Latino",15,"Adolescents",227
"18481","Feminine",18.972602739726,"White","Hispanic or Latino",18,"Adults",228
"18721","Masculine",12.2849315068493,"White","Not Hispanic or Latino",12,"Children",229
"18961","Masculine",14.5917808219178,"White","Not Hispanic or Latino",14,"Adolescents",230
"19201","Masculine",15.4438356164384,"Not Captured by Options","Hispanic or Latino",15,"Adolescents",231
"19441","Feminine",16.6767123287671,"Not Captured by Options","Not Hispanic or Latino",16,"Adolescents",232
"19681","Feminine",13.4465753424658,"White","Not Hispanic or Latino",13,"Adolescents",233
"19921","Masculine",13.0602739726027,"White","Not Hispanic or Latino",13,"Adolescents",234
"20161","Feminine",16.1917808219178,"Not Captured by Options","Not Hispanic or Latino",16,"Adolescents",235
"20401","Feminine",11.7479452054795,"White","Not Hispanic or Latino",11,"Children",236
"20641","Masculine",16.041095890411,"White","Not Hispanic or Latino",16,"Adolescents",237
"20881","Feminine",10.7890410958904,"White","Hispanic or Latino",10,"Children",238
"21121","Feminine",10.4191780821918,"White","Hispanic or Latino",10,"Children",239
"21361","Masculine",11.9671232876712,"Not Captured by Options","Not Hispanic or Latino",11,"Children",240
"21601","Masculine",10.2054794520548,"Not Captured by Options","Not Hispanic or Latino",10,"Children",241
"21841","Feminine",14.5260273972603,"White","Not Hispanic or Latino",14,"Adolescents",242
"22081","Masculine",17.5068493150685,"White","Hispanic or Latino",17,"Adolescents",243
"22321","Feminine",20.3780821917808,"White","Not Hispanic or Latino",20,"Adults",244
"22561","Feminine",19.9534246575342,"White","Hispanic or Latino",19,"Adults",245
"22801","Feminine",15.4684931506849,"White","Not Hispanic or Latino",15,"Adolescents",246
"23041","Masculine",12.358904109589,"White","Not Hispanic or Latino",12,"Children",247
"23281","Feminine",14.2904109589041,"Asian","Not Hispanic or Latino",14,"Adolescents",248
"23521","Masculine",15.7808219178082,"Black or African American","Not Hispanic or Latino",15,"Adolescents",249
"23761","Feminine",13.4657534246575,"White","Not Hispanic or Latino",13,"Adolescents",250
"24001","Feminine",16.0493150684932,"White","Not Hispanic or Latino",16,"Adolescents",251
"24241","Feminine",11.0575342465753,"White","Not Hispanic or Latino",11,"Children",252
"24481","Feminine",18.9123287671233,"Asian","Not Hispanic or Latino",18,"Adults",253
"24721","Masculine",10.1780821917808,"White","Not Hispanic or Latino",10,"Children",254
